city,latitude,longitude,timestamp,currentspeed,freeflowspeed,currenttraveltime,freeflowtraveltime,confidence,roadclosure,source
Ujjain,23.1765,75.7885,2025-11-27 16:35:34.063008,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.854039,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:35:35.256552,1970-01-01 00:00:00.000000019,21,1970-01-01 00:00:00.000000517,1970-01-01 00:00:00.000000468,0.829267,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:36:06.615420,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000170,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:36:07.847828,1970-01-01 00:00:00.000000035,43,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000804,0.935997,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:36:09.016557,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.856742,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:36:10.255121,1970-01-01 00:00:00.000000019,21,1970-01-01 00:00:00.000000517,1970-01-01 00:00:00.000000468,0.825533,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:36:41.687706,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000170,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:36:42.863021,1970-01-01 00:00:00.000000035,43,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000804,0.935997,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:36:44.066535,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.856742,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:36:45.231893,1970-01-01 00:00:00.000000019,21,1970-01-01 00:00:00.000000517,1970-01-01 00:00:00.000000468,0.825533,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:37:16.678079,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000170,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:37:17.950435,1970-01-01 00:00:00.000000035,43,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000804,0.943614,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:37:19.304152,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.856742,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:37:20.591420,1970-01-01 00:00:00.000000018,21,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000468,0.819932,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:37:52.024648,1970-01-01 00:00:00.000000014,22,1970-01-01 00:00:00.000000207,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:37:53.268635,1970-01-01 00:00:00.000000035,43,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000804,0.942851,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:37:54.496008,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.860927,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:37:55.727984,1970-01-01 00:00:00.000000018,22,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000447,0.819932,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:38:27.172083,1970-01-01 00:00:00.000000016,22,1970-01-01 00:00:00.000000181,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:38:28.430810,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.93815,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:39:50.906572,1970-01-01 00:00:00.000000015,21,1970-01-01 00:00:00.000000193,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:39:52.195023,1970-01-01 00:00:00.000000035,43,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000804,0.925587,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:39:53.416565,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.84302,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:39:54.663994,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.812105,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:40:26.201569,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000170,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:40:27.433519,1970-01-01 00:00:00.000000035,43,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000804,0.925587,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:40:28.638994,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.83302,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:40:29.834395,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.816366,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:41:01.210062,1970-01-01 00:00:00.000000015,21,1970-01-01 00:00:00.000000193,1970-01-01 00:00:00.000000138,1.0,False,traffic_live
